clip,offset_s,survival,mean_survival_s,n,window_s
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,mean,0.5714,,56,3.0
CMU_20_21_rory1_20_10_poses_120_jpos,0.0,0.125,2.672,8,3.0
CMU_20_21_rory1_20_10_poses_120_jpos,1.0,0.125,1.928,8,3.0
CMU_20_21_rory1_20_10_poses_120_jpos,2.0,0.0,1.152,8,2.32
CMU_20_21_rory1_20_10_poses_120_jpos,3.0,0.0,0.447,8,1.32
CMU_20_21_rory1_20_10_poses_120_jpos,4.0,1.0,0.32,8,0.32
CMU_20_21_rory1_20_10_poses_120_jpos,6.0,1.0,0.04,8,0.04
CMU_20_21_rory1_20_10_poses_120_jpos,8.0,1.0,0.04,8,0.04
CMU_20_21_rory1_20_10_poses_120_jpos,mean,0.4643,,56,3.0
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,1.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,2.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,3.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,4.0,0.0,2.92,8,3.0
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,6.0,0.0,0.92,8,3.0
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,8.0,0.0,1.135,8,3.0
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,mean,0.5714,,56,3.0
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.0,1.0,3.0,8,3.0
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,1.0,1.0,3.0,8,3.0
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,2.0,1.0,3.0,8,3.0
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,3.0,1.0,3.0,8,3.0
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,4.0,1.0,3.0,8,3.0
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,6.0,1.0,3.0,8,3.0
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,8.0,1.0,3.0,8,3.0
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,mean,1.0,,56,3.0
CMU_138_138_25_poses_120_jpos,0.0,1.0,2.98,8,2.98
CMU_138_138_25_poses_120_jpos,1.0,1.0,1.96,8,1.96
CMU_138_138_25_poses_120_jpos,2.0,1.0,0.96,8,0.96
CMU_138_138_25_poses_120_jpos,3.0,1.0,0.04,8,0.04
CMU_138_138_25_poses_120_jpos,4.0,1.0,0.04,8,0.04
CMU_138_138_25_poses_120_jpos,6.0,1.0,0.04,8,0.04
CMU_138_138_25_poses_120_jpos,8.0,1.0,0.04,8,0.04
CMU_138_138_25_poses_120_jpos,mean,1.0,,56,3.0
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.0,0.0,1.61,8,3.0
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,1.0,0.375,1.575,8,3.0
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,2.0,0.625,1.49,8,2.26
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,3.0,1.0,1.26,8,1.26
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,4.0,1.0,0.26,8,0.26
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,mean,0.7143,,56,3.0
CMU_88_88_10_poses_60_jpos,0.0,0.125,2.175,8,3.0
CMU_88_88_10_poses_60_jpos,1.0,0.0,1.115,8,3.0
CMU_88_88_10_poses_60_jpos,2.0,0.0,1.195,8,3.0
CMU_88_88_10_poses_60_jpos,3.0,0.0,1.345,8,3.0
CMU_88_88_10_poses_60_jpos,4.0,0.0,1.045,8,3.0
CMU_88_88_10_poses_60_jpos,6.0,1.0,1.78,8,1.78
CMU_88_88_10_poses_60_jpos,8.0,1.0,0.04,8,0.04
CMU_88_88_10_poses_60_jpos,mean,0.3036,,56,3.0
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,1.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,2.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,3.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,4.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,6.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,8.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,mean,1.0,,56,3.0
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,1.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,2.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,3.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,4.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,6.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,8.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,mean,1.0,,56,3.0
CMU_93_93_08_poses_60_jpos,0.0,1.0,3.0,8,3.0
CMU_93_93_08_poses_60_jpos,1.0,1.0,3.0,8,3.0
CMU_93_93_08_poses_60_jpos,2.0,1.0,3.0,8,3.0
CMU_93_93_08_poses_60_jpos,3.0,1.0,3.0,8,3.0
CMU_93_93_08_poses_60_jpos,4.0,1.0,3.0,8,3.0
CMU_93_93_08_poses_60_jpos,6.0,1.0,3.0,8,3.0
CMU_93_93_08_poses_60_jpos,8.0,1.0,1.28,8,1.28
CMU_93_93_08_poses_60_jpos,mean,1.0,,56,3.0
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,1.0,0.0,2.64,8,3.0
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,2.0,0.0,1.645,8,3.0
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,3.0,0.0,0.64,8,2.5
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,4.0,1.0,1.5,8,1.5
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,mean,0.5714,,56,3.0
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,0.0,1.0,3.0,8,3.0
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,1.0,1.0,3.0,8,3.0
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,2.0,1.0,3.0,8,3.0
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,3.0,1.0,3.0,8,3.0
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,4.0,1.0,3.0,8,3.0
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,6.0,1.0,3.0,8,3.0
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,8.0,1.0,1.14,8,1.14
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,mean,1.0,,56,3.0
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,0.0,0.75,2.51,8,3.0
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,1.0,1.0,3.0,8,3.0
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,2.0,1.0,2.74,8,2.74
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,3.0,1.0,1.74,8,1.74
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,4.0,1.0,0.74,8,0.74
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,6.0,1.0,0.04,8,0.04
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,8.0,1.0,0.04,8,0.04
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,mean,0.9643,,56,3.0
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,0.0,1.0,3.0,8,3.0
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,1.0,1.0,3.0,8,3.0
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,2.0,1.0,3.0,8,3.0
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,3.0,1.0,3.0,8,3.0
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,4.0,1.0,3.0,8,3.0
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,6.0,1.0,1.78,8,1.78
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,8.0,1.0,0.04,8,0.04
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,mean,1.0,,56,3.0
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,0.0,1.0,3.0,8,3.0
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,1.0,1.0,3.0,8,3.0
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,2.0,0.875,2.842,8,3.0
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,3.0,0.875,2.68,8,3.0
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,4.0,1.0,3.0,8,3.0
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,6.0,1.0,1.8,8,1.8
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,8.0,1.0,0.04,8,0.04
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,mean,0.9643,,56,3.0
CMU_35_35_18_poses_120_jpos,0.0,0.875,1.32,8,1.44
CMU_35_35_18_poses_120_jpos,1.0,1.0,0.44,8,0.44
CMU_35_35_18_poses_120_jpos,2.0,1.0,0.04,8,0.04
CMU_35_35_18_poses_120_jpos,3.0,1.0,0.04,8,0.04
CMU_35_35_18_poses_120_jpos,4.0,1.0,0.04,8,0.04
CMU_35_35_18_poses_120_jpos,6.0,1.0,0.04,8,0.04
CMU_35_35_18_poses_120_jpos,8.0,1.0,0.04,8,0.04
CMU_35_35_18_poses_120_jpos,mean,0.9821,,56,3.0
CMU_35_35_26_poses_120_jpos,0.0,0.0,0.53,8,1.16
CMU_35_35_26_poses_120_jpos,1.0,1.0,0.16,8,0.16
CMU_35_35_26_poses_120_jpos,2.0,1.0,0.04,8,0.04
CMU_35_35_26_poses_120_jpos,3.0,1.0,0.04,8,0.04
CMU_35_35_26_poses_120_jpos,4.0,1.0,0.04,8,0.04
CMU_35_35_26_poses_120_jpos,6.0,1.0,0.04,8,0.04
CMU_35_35_26_poses_120_jpos,8.0,1.0,0.04,8,0.04
CMU_35_35_26_poses_120_jpos,mean,0.8571,,56,3.0
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.0,0.0,0.6,8,2.3
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,1.0,1.0,1.3,8,1.3
