clip,category,knn100,knn800,logdens100,logdens800,catmass100,catmass800,dlogdens,dknn
SFU_0015_0015_BasicKendo001_poses_120_jpos,locomotion,3.229923536945461,2.766037716123747,-2.4398766464865522,-3.9317335200859906,0.622638813930601,0.5265756817306684,-1.4918568735994384,-0.46388582082171403
DFaust_67_50020_50020_punching_poses_60_jpos,quiet,3.918174966915914,3.738135504825776,-3.604215532378465,-5.614784905040943,0.22745166513222648,0.44739122063919934,-2.010569372662478,-0.180039462090138
BMLmovi_Subject_85_F_MoSh_Subject_85_F_10_poses_120_jpos,quiet,2.981693748140761,2.4721162835962387,-2.445627984143444,-3.092954687489908,0.22745166513222648,0.44739122063919934,-0.6473267033464638,-0.5095774645445221
Eyes_Japan_Dataset_kawaguchi_throw_toss-05-both_hands_over_heavy-kawaguchi_poses_120_jpos,locomotion,1.5896743019488817,1.2246204932249918,-1.7461531371205317,-1.093666555792683,0.622638813930601,0.5265756817306684,0.6524865813278486,-0.3650538087238899
Eyes_Japan_Dataset_hamada_accident-06-damage_left_leg-hamada_poses_120_jpos,locomotion,1.6457608811056208,0.9120803871089015,-1.865819888907813,-1.1495172687793185,0.622638813930601,0.5265756817306684,0.7163026201284945,-0.7336804939967193
CMU_139_139_11_poses_60_jpos,dynamic,2.936857669315771,1.5554574550309561,-2.8801048608902304,-3.149038478282172,0.11817835486840857,0.019325182903350023,-0.26893361739194166,-1.381400214284815
Transitions_mocap_mazen_c3d_kick_walk_poses_120_jpos,locomotion,2.8358252755754854,1.892310713132184,-2.5433268743721746,-2.1243910138810667,0.622638813930601,0.5265756817306684,0.418935860491108,-0.9435145624433015
KIT_379_push_recovery_left05_poses_100_jpos,locomotion,2.74622960759008,1.6606813023203741,-2.3469995833540445,-1.8363870492976866,0.622638813930601,0.5265756817306684,0.5106125340563579,-1.085548305269706
CMU_122_122_55_poses_120_jpos,locomotion,3.038371147889948,2.0674298326049594,-2.967112351396985,-2.1144189394501853,0.622638813930601,0.5265756817306684,0.8526934119467997,-0.9709413152849886
CMU_144_144_04_poses_120_jpos,locomotion,1.6240882059985318,0.899762245773241,-2.013825953532431,-1.2575325403242053,0.622638813930601,0.5265756817306684,0.7562934132082257,-0.7243259602252907
Eyes_Japan_Dataset_kanno_accident-03-damage_head-kanno_poses_120_jpos,locomotion,1.081767953545214,0.8202833192522221,-1.517791482188795,-0.8546367863711908,0.622638813930601,0.5265756817306684,0.6631546958176042,-0.26148463429299196
