clip,offset_s,survival,mean_survival_s,n,window_s
BMLmovi_Subject_71_F_MoSh_Subject_71_F_17_poses_120_jpos,4.0,0.0,0.475,8,3.0
BMLmovi_Subject_71_F_MoSh_Subject_71_F_17_poses_120_jpos,6.0,0.0,0.572,8,2.9
BMLmovi_Subject_71_F_MoSh_Subject_71_F_17_poses_120_jpos,8.0,1.0,0.9,8,0.9
BMLmovi_Subject_71_F_MoSh_Subject_71_F_17_poses_120_jpos,mean,0.1429,,56,3.0
BMLmovi_Subject_88_F_MoSh_Subject_88_F_1_poses_120_jpos,0.0,0.375,2.555,8,3.0
BMLmovi_Subject_88_F_MoSh_Subject_88_F_1_poses_120_jpos,1.0,0.0,1.335,8,3.0
BMLmovi_Subject_88_F_MoSh_Subject_88_F_1_poses_120_jpos,2.0,0.375,1.685,8,3.0
BMLmovi_Subject_88_F_MoSh_Subject_88_F_1_poses_120_jpos,3.0,0.875,2.085,8,2.24
BMLmovi_Subject_88_F_MoSh_Subject_88_F_1_poses_120_jpos,4.0,1.0,1.24,8,1.24
BMLmovi_Subject_88_F_MoSh_Subject_88_F_1_poses_120_jpos,6.0,1.0,0.04,8,0.04
BMLmovi_Subject_88_F_MoSh_Subject_88_F_1_poses_120_jpos,8.0,1.0,0.04,8,0.04
BMLmovi_Subject_88_F_MoSh_Subject_88_F_1_poses_120_jpos,mean,0.6607,,56,3.0
CMU_114_114_16_poses_120_jpos,0.0,1.0,3.0,8,3.0
CMU_114_114_16_poses_120_jpos,1.0,1.0,3.0,8,3.0
CMU_114_114_16_poses_120_jpos,2.0,1.0,3.0,8,3.0
CMU_114_114_16_poses_120_jpos,3.0,0.0,2.167,8,3.0
CMU_114_114_16_poses_120_jpos,4.0,0.0,1.32,8,3.0
CMU_114_114_16_poses_120_jpos,6.0,0.0,0.462,8,3.0
CMU_114_114_16_poses_120_jpos,8.0,0.0,0.665,8,3.0
CMU_114_114_16_poses_120_jpos,mean,0.4286,,56,3.0
CMU_133_133_01_poses_120_jpos,0.0,1.0,3.0,8,3.0
