clip,tax_fraction
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,0.7059
BMLmovi_Subject_34_F_MoSh_Subject_34_F_9_poses_120_jpos,0.1314
BMLmovi_Subject_3_F_MoSh_Subject_3_F_10_poses_120_jpos,0.8293
BMLmovi_Subject_3_F_MoSh_Subject_3_F_18_poses_120_jpos,0.0357
BMLmovi_Subject_3_F_MoSh_Subject_3_F_20_poses_120_jpos,0.1600
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,0.2903
BMLmovi_Subject_45_F_MoSh_Subject_45_F_5_poses_120_jpos,0.4167
BMLmovi_Subject_47_F_MoSh_Subject_47_F_10_poses_120_jpos,0.2915
BMLmovi_Subject_47_F_MoSh_Subject_47_F_8_poses_120_jpos,0.4979
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,0.0564
BMLmovi_Subject_57_F_MoSh_Subject_57_F_6_poses_120_jpos,0.6333
BMLmovi_Subject_58_F_MoSh_Subject_58_F_1_poses_120_jpos,0.3015
BMLmovi_Subject_5_F_MoSh_Subject_5_F_12_poses_120_jpos,0.0000
BMLmovi_Subject_5_F_MoSh_Subject_5_F_6_poses_120_jpos,0.0341
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,0.2920
BMLmovi_Subject_6_F_MoSh_Subject_6_F_13_poses_120_jpos,0.0800
BMLmovi_Subject_6_F_MoSh_Subject_6_F_19_poses_120_jpos,0.0462
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,0.1809
BMLmovi_Subject_72_F_MoSh_Subject_72_F_16_poses_120_jpos,0.3019
BMLmovi_Subject_76_F_MoSh_Subject_76_F_7_poses_120_jpos,0.1569
BMLmovi_Subject_81_F_MoSh_Subject_81_F_20_poses_120_jpos,0.0683
BMLmovi_Subject_85_F_MoSh_Subject_85_F_10_poses_120_jpos,0.0727
BMLmovi_Subject_8_F_MoSh_Subject_8_F_15_poses_120_jpos,0.0000
