clip,offset_s,survival,mean_survival_s,n,window_s
BMLmovi_Subject_17_F_MoSh_Subject_17_F_9_poses_120_jpos,3.0,1.0,3.0,8,3.0
BMLmovi_Subject_17_F_MoSh_Subject_17_F_9_poses_120_jpos,4.0,1.0,3.0,8,3.0
BMLmovi_Subject_17_F_MoSh_Subject_17_F_9_poses_120_jpos,6.0,1.0,1.32,8,1.32
BMLmovi_Subject_17_F_MoSh_Subject_17_F_9_poses_120_jpos,8.0,1.0,0.04,8,0.04
BMLmovi_Subject_17_F_MoSh_Subject_17_F_9_poses_120_jpos,mean,1.0,,56,3.0
BMLmovi_Subject_29_F_MoSh_Subject_29_F_7_poses_120_jpos,0.0,0.75,2.845,8,3.0
BMLmovi_Subject_29_F_MoSh_Subject_29_F_7_poses_120_jpos,1.0,0.875,2.78,8,3.0
BMLmovi_Subject_29_F_MoSh_Subject_29_F_7_poses_120_jpos,2.0,1.0,3.0,8,3.0
BMLmovi_Subject_29_F_MoSh_Subject_29_F_7_poses_120_jpos,3.0,1.0,3.0,8,3.0
BMLmovi_Subject_29_F_MoSh_Subject_29_F_7_poses_120_jpos,4.0,1.0,3.0,8,3.0
BMLmovi_Subject_29_F_MoSh_Subject_29_F_7_poses_120_jpos,6.0,1.0,1.0,8,1.0
BMLmovi_Subject_29_F_MoSh_Subject_29_F_7_poses_120_jpos,8.0,1.0,0.04,8,0.04
BMLmovi_Subject_29_F_MoSh_Subject_29_F_7_poses_120_jpos,mean,0.9464,,56,3.0
BMLmovi_Subject_32_F_MoSh_Subject_32_F_16_poses_120_jpos,0.0,1.0,3.0,8,3.0
BMLmovi_Subject_32_F_MoSh_Subject_32_F_16_poses_120_jpos,1.0,0.875,2.87,8,3.0
BMLmovi_Subject_32_F_MoSh_Subject_32_F_16_poses_120_jpos,2.0,1.0,3.0,8,3.0
BMLmovi_Subject_32_F_MoSh_Subject_32_F_16_poses_120_jpos,3.0,1.0,3.0,8,3.0
BMLmovi_Subject_32_F_MoSh_Subject_32_F_16_poses_120_jpos,4.0,1.0,2.24,8,2.24
BMLmovi_Subject_32_F_MoSh_Subject_32_F_16_poses_120_jpos,6.0,1.0,0.24,8,0.24
BMLmovi_Subject_32_F_MoSh_Subject_32_F_16_poses_120_jpos,8.0,1.0,0.04,8,0.04
BMLmovi_Subject_32_F_MoSh_Subject_32_F_16_poses_120_jpos,mean,0.9821,,56,3.0
BMLmovi_Subject_45_F_MoSh_Subject_45_F_14_poses_120_jpos,0.0,1.0,3.0,8,3.0
BMLmovi_Subject_45_F_MoSh_Subject_45_F_14_poses_120_jpos,1.0,0.875,2.928,8,3.0
BMLmovi_Subject_45_F_MoSh_Subject_45_F_14_poses_120_jpos,2.0,1.0,3.0,8,3.0
BMLmovi_Subject_45_F_MoSh_Subject_45_F_14_poses_120_jpos,3.0,1.0,3.0,8,3.0
BMLmovi_Subject_45_F_MoSh_Subject_45_F_14_poses_120_jpos,4.0,0.875,2.785,8,3.0
BMLmovi_Subject_45_F_MoSh_Subject_45_F_14_poses_120_jpos,6.0,1.0,1.58,8,1.58
BMLmovi_Subject_45_F_MoSh_Subject_45_F_14_poses_120_jpos,8.0,1.0,0.04,8,0.04
BMLmovi_Subject_45_F_MoSh_Subject_45_F_14_poses_120_jpos,mean,0.9643,,56,3.0
BMLmovi_Subject_48_F_MoSh_Subject_48_F_9_poses_120_jpos,0.0,1.0,3.0,8,3.0
BMLmovi_Subject_48_F_MoSh_Subject_48_F_9_poses_120_jpos,1.0,1.0,3.0,8,3.0
BMLmovi_Subject_48_F_MoSh_Subject_48_F_9_poses_120_jpos,2.0,1.0,3.0,8,3.0
BMLmovi_Subject_48_F_MoSh_Subject_48_F_9_poses_120_jpos,3.0,0.625,2.052,8,3.0
BMLmovi_Subject_48_F_MoSh_Subject_48_F_9_poses_120_jpos,4.0,1.0,3.0,8,3.0
BMLmovi_Subject_48_F_MoSh_Subject_48_F_9_poses_120_jpos,6.0,1.0,1.58,8,1.58
BMLmovi_Subject_48_F_MoSh_Subject_48_F_9_poses_120_jpos,8.0,1.0,0.04,8,0.04
BMLmovi_Subject_48_F_MoSh_Subject_48_F_9_poses_120_jpos,mean,0.9464,,56,3.0
BMLmovi_Subject_55_F_MoSh_Subject_55_F_6_poses_120_jpos,0.0,1.0,3.0,8,3.0
BMLmovi_Subject_55_F_MoSh_Subject_55_F_6_poses_120_jpos,1.0,1.0,3.0,8,3.0
BMLmovi_Subject_55_F_MoSh_Subject_55_F_6_poses_120_jpos,2.0,0.875,2.73,8,3.0
