motion_key,num_frames,fps,airborne_frac,infeasible_frac,unsupported_force_N_p50,unsupported_force_N_p95,unsupported_force_N_max,unsupported_impulse_per_weight_s,max_tau_ratio_p95,torque_infeasible_frac,schema_version,robot_sha256,source_sha256,num_evaluable_frames,num_contact_free_frames,duration_s,body_weight_N,foot_gap_m_p50,foot_gap_m_p05,mean_contacts,max_tau_ratio_max,torque_saturated_frac,mjcf_path,thr_gap_m,thr_mu,thr_unsupported_force_frac
crouch_ff_loop_270_004__A147,330,50,0.0,0.0,0.0,5.737418979941466e-14,9.287620324103417,0.0013435443866744085,0.6264420044203313,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,3199fba43f63d4b8787c28e5ff0676ba9766e7e160fb5d687ebcf27713e66cc0,330,0,6.6000000000000005,327.07660302000005,-0.009972030704560896,-0.02677196363943923,9.175757575757576,0.7038597796913725,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_270_004__A149,330,50,0.0,0.0,0.0,15.67077975357252,24.586808429506057,0.046493884148000444,0.7119683407781063,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,b80027a0418cfdc09c5363090b84a038abdd62146cca703005ca2319ec1094d0,330,0,6.6000000000000005,327.07660302000005,0.0018084379936876291,-0.008524744583934842,9.154545454545454,0.9276307026218031,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_270_R_001__A248_M,289,50,0.0,0.0,0.0,11.629670377010903,25.30445962468235,0.025285577903123725,0.8112572975255326,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,ecb4ef425ea0fa9968eb2d9c6e7493692415a8a323f623cd04ebee32c5957352,289,0,5.78,327.07660302000005,-0.0043941949662583924,-0.02779943804382049,9.598615916955017,0.9217643910765697,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_270_R_003__A248_M,294,50,0.0,0.0,0.0,0.2347075461325639,15.755925731508334,0.005143051098908471,0.8512139436351945,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,9990547cb9460506c1f0e55abd7b31ab657f785f4fc496783d5418c25b379346,294,0,5.88,327.07660302000005,-0.005401980351566987,-0.026978498612281968,9.850340136054422,0.9469411429949331,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_315_001__A126_M,209,50,0.0,0.0,0.0,6.632513473509396,36.34696883118085,0.0160027103600045,1.2738282392965747,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,0b890e8f6fcca4444a3c40825a18c7fc4c6c735e0f081050f89fdfbb203a3a61,209,0,4.18,327.07660302000005,-0.008223783457571115,-0.0159749489560673,9.464114832535886,1.6279574981099314,0.1722488038277512,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_315_001__A129_M,209,50,0.0,0.0,0.0,0.7245858383591215,29.571355967533357,0.008649187639393595,0.5747432072169112,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,3f46deacca6591b93d79299ff71f41ce7f742b640e294ae8ff7bdb40d92fc62f,209,0,4.18,327.07660302000005,0.0045983828629193495,-0.006445070826837558,7.344497607655502,0.614693208370632,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_315_003__A146_M,322,50,0.0,0.0,0.0,15.574430595513041,29.738624458478146,0.04753822386520202,1.3082968049325059,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,cac3e3fb081132f5714c349667aa0a9611ac0a4ee7ca7e60c080eb4c6bd7d312,322,0,6.44,327.07660302000005,-0.005088645571962125,-0.015537403859525857,10.319875776397515,1.4578778083440467,0.16149068322981366,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_315_004__A147,397,50,0.0,0.0,0.0,0.6641822146895566,16.74554270079463,0.007358530332045497,0.6318835737156934,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,48c6176ef6ebbf20949f64eb683b43e15f4ace6f4ab58bfb6b3ec05df707a071,397,0,7.94,327.07660302000005,-0.0009171955164858038,-0.01910307097932501,9.130982367758186,0.825326896711679,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_315_R_003__A195,232,50,0.0,0.0,0.0,25.67039933370461,33.76126102719,0.05062060894529438,1.2711426971814808,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,383fff963f38d80a76f0048a3eaef798a0a860587807455a7da0130f94d741b2,232,0,4.64,327.07660302000005,-0.0003235855709914229,-0.008157436950900708,9.793103448275861,1.4504848676680622,0.125,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_315_R_003__A247,242,50,0.0,0.0,0.0,10.741557676421225,16.01952653247872,0.022004061155235427,1.2073138485688373,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,c6c2fd3c625c949b8759e1505e2f5e8001c00f8858192cbfc7c81fc2285cadf9,242,0,4.84,327.07660302000005,-0.0031807753938140086,-0.020135228249842686,9.669421487603305,1.4145965857903784,0.09917355371900827,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
