clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start,effort_sat_mean,effort_sat_peak,effort_sat_at_end
GRAB_s7_stapler_staple_1,0.875,3.29,0.05625,8,10.0,random,0.00014,0.00862,0.00862
CMU_122_122_03_poses_120_jpos,0.5,1.49,0.09123,8,10.0,random,0.00033,0.01293,0.00862
GRAB_s3_waterbottle_pick_all,0.875,6.258,0.05821,8,10.0,random,0.00029,0.02586,0.01724
KIT_675_walk_with_table_left04_poses_100_jpos,1.0,3.163,0.07339,8,10.0,random,0.00074,0.02155,0.00862
KIT_3_seesaw07_poses_100_jpos,1.0,4.503,0.07197,8,10.0,random,0.00011,0.00862,0.0
CMU_137_137_36_poses_120_jpos,0.875,5.928,0.07148,8,10.0,random,0.00021,0.03017,0.01724
KIT_8_RightTurn03_poses_100_jpos,1.0,2.915,0.05997,8,10.0,random,0.00068,0.0431,0.02586
KIT_424_seesaw04_poses_100_jpos,1.0,3.01,0.05339,8,10.0,random,0.00018,0.01724,0.01724
KIT_3_walking_medium08_poses_100_jpos,1.0,2.433,0.0568,8,10.0,random,0.00022,0.02586,0.02586
KIT_421_push_recovery_stand_left03_poses_100_jpos,1.0,4.46,0.05559,8,10.0,random,0.00015,0.01724,0.01724
GRAB_s6_mouse_pick_all,1.0,6.46,0.04687,8,10.0,random,9e-05,0.03017,0.03017
KIT_8_WalkingStraightForwards09_poses_100_jpos,1.0,1.913,0.04457,8,10.0,random,0.00027,0.02155,0.01724
CMU_106_106_13_poses_60_jpos,1.0,4.17,0.06643,8,10.0,random,0.00096,0.03017,0.01724
GRAB_s4_apple_pick_all,1.0,7.365,0.06356,8,10.0,random,0.00024,0.02586,0.01293
GRAB_s6_spherelarge_pick_all,0.75,7.88,0.0493,8,10.0,random,6e-05,0.01293,0.01293
KIT_572_throw_left04_poses_100_jpos,0.875,1.505,0.05295,8,10.0,random,0.00148,0.02155,0.01724
GRAB_s5_spherelarge_pick_all,1.0,7.218,0.04887,8,10.0,random,4e-05,0.01724,0.00862
GRAB_s8_toruslarge_inspect_1,1.0,5.79,0.05526,8,10.0,random,6e-05,0.01293,0.01293
GRAB_s9_stapler_pass_1,1.0,4.843,0.06166,8,10.0,random,5e-05,0.01293,0.01293
GRAB_s1_toothpaste_pick_all,1.0,8.96,0.05606,8,10.0,random,3e-05,0.01293,0.00862
KIT_3_wave_left01_poses_100_jpos,1.0,1.6,0.0478,8,10.0,random,0.00032,0.02155,0.02155
Eyes_Japan_Dataset_kanno_pose-19-funny-kanno_poses_120_jpos,1.0,9.863,0.05794,8,10.0,random,6e-05,0.02155,0.01724
Eyes_Japan_Dataset_kanno_gesture_etc-50-syuriken-kanno_poses_120_jpos,1.0,9.03,0.04805,8,10.0,random,0.00012,0.03017,0.02155
KIT_950_Wipe_Back_Small_Circle_01_poses_100_jpos,0.875,4.228,0.12947,8,10.0,random,0.00061,0.03017,0.01293
KIT_1487_stirring_in_the_bowl07_poses_100_jpos,1.0,4.348,0.04975,8,10.0,random,0.0002,0.02586,0.02155
KIT_1717_displace_from_left_to_right_14_poses_100_jpos,1.0,2.522,0.03937,8,10.0,random,0.00017,0.02155,0.02155
KIT_969_Trial_30_poses_100_jpos,1.0,4.402,0.04066,8,10.0,random,0.0002,0.02586,0.02155
KIT_572_wipe_circular_left07_poses_100_jpos,1.0,3.31,0.03876,8,10.0,random,9e-05,0.01724,0.01724
KIT_1229_hand_through_hair_right_arm_02_poses_100_jpos,1.0,1.85,0.0363,8,10.0,random,0.0001,0.00862,0.00862
KIT_291_shake_hand05_poses_100_jpos,1.0,1.268,0.03869,8,10.0,random,0.00139,0.02586,0.02586
