clip,offset_s,survival,mean_survival_s,n,window_s,effort_sat_mean,effort_sat_peak,effort_sat_at_end
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.00109,0.03448,0.0
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,4.0,0.875,2.903,8,3.0,0.00219,0.03879,0.0
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,6.0,1.0,3.0,8,3.0,0.00293,0.03448,0.00431
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,8.0,1.0,3.0,8,3.0,0.00256,0.03879,0.0
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,mean,0.9821,,56,3.0,0.00133,,
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,2.0,0.0,2.7,8,3.0,0.0001,0.00431,0.00431
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,3.0,0.0,1.7,8,3.0,0.00025,0.02155,0.02155
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,4.0,0.0,0.707,8,3.0,0.00329,0.03879,0.00862
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,6.0,1.0,3.0,8,3.0,0.00026,0.01293,0.0
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,8.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,mean,0.5714,,56,3.0,0.00056,,
CMU_91_91_04_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.00066,0.02155,0.0
CMU_91_91_04_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.00207,0.0431,0.0
CMU_91_91_04_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.00072,0.03017,0.0
CMU_91_91_04_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.00063,0.03017,0.0
CMU_91_91_04_poses_120_jpos,4.0,1.0,3.0,8,3.0,0.00032,0.01724,0.0
CMU_91_91_04_poses_120_jpos,6.0,0.625,2.345,8,3.0,0.00118,0.0431,0.0
CMU_91_91_04_poses_120_jpos,8.0,1.0,3.0,8,3.0,0.00072,0.02586,0.0
CMU_91_91_04_poses_120_jpos,mean,0.9464,,56,3.0,0.0009,,
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.0004,0.01724,0.0
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,4.0,0.375,2.622,8,3.0,0.00076,0.02155,0.00862
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,6.0,0.625,2.02,8,3.0,0.00385,0.05172,0.00431
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,8.0,0.0,2.767,8,3.0,0.00012,0.01724,0.01293
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,mean,0.7143,,56,3.0,0.00073,,
CMU_138_138_10_poses_120_jpos,0.0,0.625,2.648,8,3.0,0.002,0.0431,0.01724
CMU_138_138_10_poses_120_jpos,1.0,0.375,2.148,8,2.64,0.0016,0.03879,0.01293
CMU_138_138_10_poses_120_jpos,2.0,0.375,1.26,8,1.64,0.00308,0.03017,0.02155
CMU_138_138_10_poses_120_jpos,3.0,1.0,0.64,8,0.64,0.00094,0.03017,0.03017
CMU_138_138_10_poses_120_jpos,4.0,1.0,0.04,8,0.04,0.00216,0.00431,0.00431
CMU_138_138_10_poses_120_jpos,6.0,1.0,0.04,8,0.04,0.00431,0.00862,0.00862
CMU_138_138_10_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.00431,0.00862,0.00862
CMU_138_138_10_poses_120_jpos,mean,0.7679,,56,3.0,0.00263,,
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,0.0,0.0,0.98,8,2.76,0.00029,0.01293,0.01293
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,1.0,0.0,0.933,8,1.76,0.00189,0.02586,0.01724
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,2.0,1.0,0.76,8,0.76,0.00068,0.02586,0.02586
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,3.0,1.0,0.04,8,0.04,0.00431,0.00862,0.00862
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,4.0,1.0,0.04,8,0.04,0.00216,0.00431,0.00431
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,6.0,1.0,0.04,8,0.04,0.01293,0.02586,0.02586
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,8.0,1.0,0.04,8,0.04,0.0,0.0,0.0
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,mean,0.7143,,56,3.0,0.00318,,
CMU_108_108_16_poses_120_jpos,0.0,0.5,2.302,8,2.92,0.00219,0.03448,0.0
