clip,offset_s,survival,mean_survival_s,n,window_s,effort_sat_mean,effort_sat_peak,effort_sat_at_end
CMU_133_133_02_poses_120_jpos,1.0,0.0,2.535,8,3.0,0.00041,0.05172,0.05172
CMU_133_133_02_poses_120_jpos,2.0,0.0,1.57,8,3.0,0.00061,0.04741,0.04741
CMU_133_133_02_poses_120_jpos,3.0,0.0,0.882,8,3.0,0.00968,0.07328,0.02586
CMU_133_133_02_poses_120_jpos,4.0,0.0,0.44,8,3.0,0.0166,0.09052,0.03879
CMU_133_133_02_poses_120_jpos,6.0,0.0,0.407,8,3.0,0.02137,0.09914,0.05172
CMU_133_133_02_poses_120_jpos,8.0,0.0,0.352,8,3.0,0.00861,0.06466,0.05603
CMU_133_133_02_poses_120_jpos,mean,0.1429,,56,3.0,0.00818,,
CMU_82_82_05_poses_120_jpos,0.0,0.0,0.468,8,3.0,0.00206,0.04741,0.04741
CMU_82_82_05_poses_120_jpos,1.0,0.0,0.42,8,3.0,0.00143,0.03017,0.03017
CMU_82_82_05_poses_120_jpos,2.0,0.0,0.435,8,3.0,0.00322,0.0431,0.0431
CMU_82_82_05_poses_120_jpos,3.0,0.0,0.42,8,3.0,0.00366,0.05172,0.0431
CMU_82_82_05_poses_120_jpos,4.0,0.0,0.417,8,3.0,0.00436,0.05172,0.0431
CMU_82_82_05_poses_120_jpos,6.0,0.0,0.41,8,3.0,0.00401,0.06466,0.06034
CMU_82_82_05_poses_120_jpos,8.0,0.0,0.452,8,3.0,0.0021,0.04741,0.0431
CMU_82_82_05_poses_120_jpos,mean,0.0,,56,3.0,0.00298,,
CMU_89_89_01_poses_60_jpos,0.0,1.0,3.0,8,3.0,9e-05,0.00431,0.0
CMU_89_89_01_poses_60_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
CMU_89_89_01_poses_60_jpos,2.0,1.0,3.0,8,3.0,6e-05,0.00431,0.0
CMU_89_89_01_poses_60_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
CMU_89_89_01_poses_60_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
CMU_89_89_01_poses_60_jpos,6.0,0.125,1.852,8,3.0,0.00184,0.05603,0.03879
CMU_89_89_01_poses_60_jpos,8.0,0.0,0.54,8,3.0,0.0039,0.05172,0.01724
CMU_89_89_01_poses_60_jpos,mean,0.7321,,56,3.0,0.00084,,
Eyes_Japan_Dataset_aita_sitdown_standup-11-one_knee_drawn_up-aita_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.00029,0.01724,0.0
Eyes_Japan_Dataset_aita_sitdown_standup-11-one_knee_drawn_up-aita_poses_120_jpos,1.0,1.0,3.0,8,3.0,3e-05,0.00431,0.0
Eyes_Japan_Dataset_aita_sitdown_standup-11-one_knee_drawn_up-aita_poses_120_jpos,2.0,0.625,2.908,8,3.0,0.00192,0.04741,0.02586
Eyes_Japan_Dataset_aita_sitdown_standup-11-one_knee_drawn_up-aita_poses_120_jpos,3.0,0.0,2.253,8,3.0,0.003,0.07759,0.05172
Eyes_Japan_Dataset_aita_sitdown_standup-11-one_knee_drawn_up-aita_poses_120_jpos,4.0,0.0,1.142,8,3.0,0.00276,0.06466,0.04741
Eyes_Japan_Dataset_aita_sitdown_standup-11-one_knee_drawn_up-aita_poses_120_jpos,6.0,0.0,0.655,8,3.0,0.01017,0.10776,0.04741
Eyes_Japan_Dataset_aita_sitdown_standup-11-one_knee_drawn_up-aita_poses_120_jpos,8.0,0.0,0.615,8,3.0,0.00936,0.09483,0.0431
Eyes_Japan_Dataset_aita_sitdown_standup-11-one_knee_drawn_up-aita_poses_120_jpos,mean,0.375,,56,3.0,0.00393,,
Eyes_Japan_Dataset_hamada_gesture_etc-50-syuriken-hamada_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_hamada_gesture_etc-50-syuriken-hamada_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_hamada_gesture_etc-50-syuriken-hamada_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_hamada_gesture_etc-50-syuriken-hamada_poses_120_jpos,3.0,0.0,2.925,8,3.0,0.0003,0.03448,0.03448
Eyes_Japan_Dataset_hamada_gesture_etc-50-syuriken-hamada_poses_120_jpos,4.0,0.125,2.053,8,3.0,0.0004,0.03879,0.03879
Eyes_Japan_Dataset_hamada_gesture_etc-50-syuriken-hamada_poses_120_jpos,6.0,0.0,0.827,8,3.0,0.00423,0.06034,0.06034
Eyes_Japan_Dataset_hamada_gesture_etc-50-syuriken-hamada_poses_120_jpos,8.0,0.0,0.87,8,3.0,0.00143,0.0431,0.03448
Eyes_Japan_Dataset_hamada_gesture_etc-50-syuriken-hamada_poses_120_jpos,mean,0.4464,,56,3.0,0.00091,,
Eyes_Japan_Dataset_ichige_sitdown_standup-11-one_knee_drawn_up-ichige_poses_250_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_ichige_sitdown_standup-11-one_knee_drawn_up-ichige_poses_250_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_ichige_sitdown_standup-11-one_knee_drawn_up-ichige_poses_250_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_ichige_sitdown_standup-11-one_knee_drawn_up-ichige_poses_250_jpos,3.0,0.0,2.122,8,3.0,0.00071,0.03879,0.03448
Eyes_Japan_Dataset_ichige_sitdown_standup-11-one_knee_drawn_up-ichige_poses_250_jpos,4.0,0.0,1.11,8,3.0,0.00616,0.06034,0.05172
Eyes_Japan_Dataset_ichige_sitdown_standup-11-one_knee_drawn_up-ichige_poses_250_jpos,6.0,0.0,0.365,8,3.0,0.00453,0.06034,0.05603
Eyes_Japan_Dataset_ichige_sitdown_standup-11-one_knee_drawn_up-ichige_poses_250_jpos,8.0,0.0,0.365,8,3.0,0.0041,0.05172,0.03879
Eyes_Japan_Dataset_ichige_sitdown_standup-11-one_knee_drawn_up-ichige_poses_250_jpos,mean,0.4286,,56,3.0,0.00221,,
Eyes_Japan_Dataset_kaiwa_pose-11-bended_knees-kaiwa_poses_120_jpos,0.0,0.875,2.65,8,3.0,0.00259,0.00862,0.00862
Eyes_Japan_Dataset_kaiwa_pose-11-bended_knees-kaiwa_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
Eyes_Japan_Dataset_kaiwa_pose-11-bended_knees-kaiwa_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.00046,0.02155,0.0
Eyes_Japan_Dataset_kaiwa_pose-11-bended_knees-kaiwa_poses_120_jpos,3.0,0.375,2.785,8,3.0,0.00064,0.0431,0.01724
Eyes_Japan_Dataset_kaiwa_pose-11-bended_knees-kaiwa_poses_120_jpos,4.0,0.0,0.655,8,3.0,0.00619,0.06466,0.06034
Eyes_Japan_Dataset_kaiwa_pose-11-bended_knees-kaiwa_poses_120_jpos,6.0,0.0,0.798,8,3.0,0.0073,0.06466,0.03879
Eyes_Japan_Dataset_kaiwa_pose-11-bended_knees-kaiwa_poses_120_jpos,8.0,0.0,0.502,8,3.0,0.00714,0.06897,0.03879
Eyes_Japan_Dataset_kaiwa_pose-11-bended_knees-kaiwa_poses_120_jpos,mean,0.4643,,56,3.0,0.00347,,
