clip,offset_s,survival,mean_survival_s,n,window_s,effort_sat_mean,effort_sat_peak,effort_sat_at_end
KIT_359_go_over_beam03_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_359_go_over_beam03_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_359_go_over_beam03_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.00026,0.01293,0.00431
KIT_359_go_over_beam03_poses_100_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_359_go_over_beam03_poses_100_jpos,6.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_359_go_over_beam03_poses_100_jpos,8.0,1.0,1.5,8,1.5,0.00034,0.02586,0.02155
KIT_359_go_over_beam03_poses_100_jpos,mean,1.0,,56,3.0,9e-05,,
KIT_314_go_over_beam01_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_314_go_over_beam01_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_314_go_over_beam01_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_314_go_over_beam01_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.00014,0.00431,0.0
KIT_314_go_over_beam01_poses_100_jpos,4.0,1.0,3.0,8,3.0,0.00011,0.00862,0.0
KIT_314_go_over_beam01_poses_100_jpos,6.0,1.0,3.0,8,3.0,0.00023,0.01724,0.01724
KIT_314_go_over_beam01_poses_100_jpos,8.0,1.0,2.86,8,2.86,0.0006,0.03879,0.02586
KIT_314_go_over_beam01_poses_100_jpos,mean,1.0,,56,3.0,0.00015,,
KIT_359_go_over_beam02_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_359_go_over_beam02_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_359_go_over_beam02_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_359_go_over_beam02_poses_100_jpos,3.0,1.0,3.0,8,3.0,9e-05,0.00862,0.0
KIT_359_go_over_beam02_poses_100_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_359_go_over_beam02_poses_100_jpos,6.0,1.0,2.56,8,2.56,0.0001,0.01293,0.01293
KIT_359_go_over_beam02_poses_100_jpos,8.0,1.0,0.56,8,0.56,0.00123,0.03448,0.03448
KIT_359_go_over_beam02_poses_100_jpos,mean,1.0,,56,3.0,0.0002,,
KIT_513_seesaw_up03_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up03_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up03_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.00017,0.01293,0.0
KIT_513_seesaw_up03_poses_100_jpos,3.0,1.0,3.0,8,3.0,3e-05,0.00431,0.0
KIT_513_seesaw_up03_poses_100_jpos,4.0,1.0,3.0,8,3.0,3e-05,0.00431,0.0
KIT_513_seesaw_up03_poses_100_jpos,6.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up03_poses_100_jpos,8.0,1.0,1.04,8,1.04,0.00041,0.02155,0.02155
KIT_513_seesaw_up03_poses_100_jpos,mean,1.0,,56,3.0,9e-05,,
KIT_424_seesaw04_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_seesaw04_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_seesaw04_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.00023,0.01724,0.0
KIT_424_seesaw04_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.00017,0.01293,0.0
KIT_424_seesaw04_poses_100_jpos,4.0,1.0,3.0,8,3.0,3e-05,0.00431,0.0
KIT_424_seesaw04_poses_100_jpos,6.0,1.0,2.18,8,2.18,0.00028,0.03017,0.03017
KIT_424_seesaw04_poses_100_jpos,8.0,1.0,0.18,8,0.18,0.0,0.0,0.0
KIT_424_seesaw04_poses_100_jpos,mean,1.0,,56,3.0,0.0001,,
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,2.0,0.875,2.74,8,3.0,0.00029,0.01293,0.0
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,4.0,1.0,2.28,8,2.28,0.0003,0.03448,0.03448
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,6.0,1.0,0.28,8,0.28,0.00154,0.02155,0.02155
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.00216,0.00431,0.00431
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,mean,0.9821,,56,3.0,0.00061,,
KIT_513_seesaw_up10_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up10_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up10_poses_100_jpos,2.0,1.0,3.0,8,3.0,6e-05,0.00431,0.0
KIT_513_seesaw_up10_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up10_poses_100_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up10_poses_100_jpos,6.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up10_poses_100_jpos,8.0,1.0,1.16,8,1.16,0.00082,0.04741,0.04741
KIT_513_seesaw_up10_poses_100_jpos,mean,1.0,,56,3.0,0.00013,,
CMU_115_115_06_poses_60_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
