clip,offset_s,survival,mean_survival_s,n,window_s,effort_sat_mean,effort_sat_peak,effort_sat_at_end
KIT_424_seesaw04_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.00023,0.00862,0.0
KIT_424_seesaw04_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.00017,0.00862,0.0
KIT_424_seesaw04_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.00046,0.02586,0.0
KIT_424_seesaw04_poses_100_jpos,3.0,1.0,3.0,8,3.0,3e-05,0.00431,0.0
KIT_424_seesaw04_poses_100_jpos,4.0,1.0,3.0,8,3.0,3e-05,0.00431,0.0
KIT_424_seesaw04_poses_100_jpos,6.0,1.0,2.18,8,2.18,0.00043,0.04741,0.04741
KIT_424_seesaw04_poses_100_jpos,8.0,1.0,0.18,8,0.18,0.00192,0.01724,0.01724
KIT_424_seesaw04_poses_100_jpos,mean,1.0,,56,3.0,0.00047,,
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,0.0,0.125,2.692,8,3.0,0.00022,0.02155,0.01293
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,1.0,0.0,1.717,8,3.0,0.00064,0.0431,0.03017
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,2.0,0.0,0.547,8,3.0,0.00285,0.01724,0.0
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,3.0,0.125,0.673,8,3.0,0.00566,0.0431,0.01293
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,4.0,1.0,2.28,8,2.28,0.00011,0.01293,0.01293
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,6.0,1.0,0.28,8,0.28,0.00185,0.02586,0.02586
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.01078,0.02155,0.02155
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,mean,0.4643,,56,3.0,0.00316,,
KIT_513_seesaw_up10_poses_100_jpos,0.0,0.5,2.523,8,3.0,9e-05,0.00862,0.00862
KIT_513_seesaw_up10_poses_100_jpos,1.0,0.75,2.488,8,3.0,0.00011,0.01293,0.0
KIT_513_seesaw_up10_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up10_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up10_poses_100_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up10_poses_100_jpos,6.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up10_poses_100_jpos,8.0,1.0,1.16,8,1.16,0.00022,0.01293,0.01293
KIT_513_seesaw_up10_poses_100_jpos,mean,0.8929,,56,3.0,6e-05,,
CMU_115_115_06_poses_60_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
CMU_115_115_06_poses_60_jpos,1.0,1.0,3.0,8,3.0,0.00072,0.01293,0.0
CMU_115_115_06_poses_60_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
CMU_115_115_06_poses_60_jpos,3.0,1.0,2.92,8,2.92,0.0,0.0,0.0
CMU_115_115_06_poses_60_jpos,4.0,1.0,1.94,8,1.94,0.00018,0.01724,0.01724
CMU_115_115_06_poses_60_jpos,6.0,1.0,0.04,8,0.04,0.00862,0.01724,0.01724
CMU_115_115_06_poses_60_jpos,8.0,1.0,0.04,8,0.04,0.00862,0.01724,0.01724
CMU_115_115_06_poses_60_jpos,mean,1.0,,56,3.0,0.00259,,
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,1.0,1.0,3.0,8,3.0,3e-05,0.00431,0.0
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,3.0,1.0,2.98,8,2.98,9e-05,0.01293,0.01293
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,4.0,1.0,1.96,8,1.96,0.00057,0.03879,0.0
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,6.0,1.0,0.04,8,0.04,0.0,0.0,0.0
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.00431,0.00862,0.00862
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,mean,1.0,,56,3.0,0.00071,,
CMU_122_122_09_poses_120_jpos,0.0,0.5,2.477,8,3.0,4e-05,0.00431,0.0
CMU_122_122_09_poses_120_jpos,1.0,1.0,2.76,8,2.76,0.00012,0.01724,0.01724
CMU_122_122_09_poses_120_jpos,2.0,1.0,1.76,8,1.76,0.00029,0.02586,0.02586
CMU_122_122_09_poses_120_jpos,3.0,1.0,0.76,8,0.76,0.0,0.0,0.0
